hhh_gender...1,hhh_age,monthly_spending...3,any_drops,hhh_literacy...5,age,gender,hhid,group,benef,group1,group_tvn,maths_results,maths_results_s...14,any_drops_n...15,female,est_num_kids,f4,school_spending
1,44,10.05752598,1,2,5957.416667,1,A001001,1,2,4,4,4,-1.334130819,0.143133648,FALSE,3,3,30
1,44,10.05752598,1,2,4953.416667,2,A001001,1,2,4,4,4,-1.334130819,0.143133648,FALSE,3,3,30
1,44,9.816800798,1,2,5037.458333,1,A001003,1,2,4,4,6,0.858325047,0.143133648,FALSE,2,3,620
1,44,9.816800798,1,2,2405.416667,1,A001003,1,2,4,4,6,0.858325047,0.143133648,FALSE,2,3,620
1,44,9.816800798,1,2,4355.458333,2,A001003,1,2,4,4,6,0.858325047,0.143133648,FALSE,2,3,620
1,49,10.60535021,1,2,4431.458333,1,A001005,1,2,4,4,5,-0.237902886,0.143133648,FALSE,3,2,760
1,49,10.60535021,1,2,3751.416667,2,A001005,1,2,4,4,5,-0.237902886,0.143133648,FALSE,3,2,760
1,38,9.609068552,1,2,3540.416667,2,A001006,1,2,4,4,5,-0.237902886,0.143133648,FALSE,3,4,720
1,38,9.609068552,1,2,2458.416667,1,A001006,1,2,4,4,5,-0.237902886,0.143133648,FALSE,3,4,720
1,38,9.609068552,1,2,4271.416667,2,A001006,1,2,4,4,5,-0.237902886,0.143133648,FALSE,3,4,720
1,47,10.34567483,1,2,3832.416667,1,A001008,1,2,4,4,4,-1.334130819,0.143133648,FALSE,3,3,310
1,47,10.34567483,1,2,4668.458333,2,A001008,1,2,4,4,4,-1.334130819,0.143133648,FALSE,3,3,310
1,46,9.169711811,1,1,2502.458333,2,A003001,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,3,900
1,46,9.169711811,1,1,4301.458333,1,A003001,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,3,900
1,46,9.169711811,1,1,4301.458333,2,A003001,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,3,900
1,39,9.815842208,1,2,3696.458333,1,A003002,2,2,1,1,5,-0.237902886,0.143133648,FALSE,1,2,350
1,39,9.815842208,1,2,2511.458333,1,A003002,2,2,1,1,5,-0.237902886,0.143133648,FALSE,1,2,350
1,66,10.15745402,1,2,4476.416667,2,A003003,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,2,640
1,66,10.15745402,1,2,3225.458333,1,A003003,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,2,640
1,36,10.68767933,1,1,4362.458333,2,A003004,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,2,1020
1,36,10.68767933,1,1,3157.416667,2,A003004,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,2,1020
1,38,8.941152882,1,2,3407.458333,2,A003007,2,2,1,1,6,0.858325047,0.143133648,FALSE,1,3,350
1,38,8.941152882,1,2,2303.416667,2,A003007,2,2,1,1,6,0.858325047,0.143133648,FALSE,1,3,350
1,42,9.292078345,1,2,2402.416667,2,A003008,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,3,1050
1,42,9.292078345,1,2,4168.416667,2,A003008,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,3,1050
1,42,9.292078345,1,2,3467.416667,2,A003008,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,3,1050
1,48,11.10477031,1,2,3628.458333,2,A004002,1,2,4,4,6,0.858325047,0.143133648,FALSE,3,4,945
1,48,11.10477031,1,2,4553.416667,2,A004002,1,2,4,4,6,0.858325047,0.143133648,FALSE,3,4,945
1,40,10.24994801,1,2,4043.458333,2,A004004,1,2,4,4,4,-1.334130819,0.143133648,FALSE,1,4,350
1,55,10.08399198,1,1,4449.458333,2,A004006,1,2,4,4,6,0.858325047,0.143133648,FALSE,2,2,760
1,55,10.08399198,1,1,5335.416667,2,A004006,1,2,4,4,6,0.858325047,0.143133648,FALSE,2,2,760
1,55,10.08399198,1,1,2273.416667,2,A004006,1,2,4,4,6,0.858325047,0.143133648,FALSE,2,2,760
1,45,9.865904355,0,2,3928.416667,2,A004007,1,2,4,4,4,-1.334130819,-6.985372839,FALSE,2,3,282
1,47,10.68359849,1,2,3952.458333,1,A005001,1,1,4,4,4,-1.334130819,0.143133648,FALSE,2,2,730
1,41,9.621740216,1,2,2922.458333,1,A005004,1,1,4,4,4,-1.334130819,0.143133648,FALSE,3,4,1080
1,41,9.621740216,1,2,4675.458333,1,A005004,1,1,4,4,4,-1.334130819,0.143133648,FALSE,3,4,1080
1,41,9.621740216,1,2,3639.458333,2,A005004,1,1,4,4,4,-1.334130819,0.143133648,FALSE,3,4,1080
1,47,10.69639926,1,2,4748.458333,1,A005005,1,1,4,4,5,-0.237902886,0.143133648,FALSE,2,3,580
1,47,10.69639926,1,2,4018.458333,1,A005005,1,1,4,4,5,-0.237902886,0.143133648,FALSE,2,3,580
1,54,9.369234884,1,2,4383.458333,1,A005006,1,1,4,4,4,-1.334130819,0.143133648,FALSE,1,3,390
1,39,9.7934335,1,2,4723.458333,2,A005007,1,1,4,4,5,-0.237902886,0.143133648,FALSE,2,3,385
1,43,10.54420546,1,2,5727.416667,2,A006006,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,2,650
1,43,10.54420546,1,2,4323.458333,2,A006006,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,2,650
1,51,10.34242428,1,2,4769.458333,1,A006007,2,2,1,1,5,-0.237902886,0.143133648,FALSE,2,2,350
1,51,10.34242428,1,2,5708.416667,2,A006007,2,2,1,1,5,-0.237902886,0.143133648,FALSE,2,2,350
1,45,11.14175412,1,2,3607.458333,2,A007001,1,2,3,3,4,-1.334130819,0.143133648,FALSE,2,2,1080
1,45,11.14175412,1,2,4705.458333,1,A007001,1,2,3,3,4,-1.334130819,0.143133648,FALSE,2,2,1080
1,29,9.651117465,1,1,4374.458333,2,A007002,1,2,3,3,5,-0.237902886,0.143133648,FALSE,2,3,880
1,29,9.651117465,1,1,3488.416667,1,A007002,1,2,3,3,5,-0.237902886,0.143133648,FALSE,2,3,880
1,61,10.43171797,1,1,3857.416667,1,A007003,1,2,3,3,4,-1.334130819,0.143133648,FALSE,2,3,1550
1,61,10.43171797,1,1,3361.458333,2,A007003,1,2,3,3,4,-1.334130819,0.143133648,FALSE,2,3,1550
1,41,10.55143188,1,1,3782.416667,2,A007004,1,2,3,3,4,-1.334130819,0.143133648,FALSE,1,3,40
1,41,10.55143188,1,1,2260.416667,1,A007004,1,2,3,3,4,-1.334130819,0.143133648,FALSE,1,3,40
1,53,10.30804749,1,2,3576.458333,2,A007005,1,2,3,3,5,-0.237902886,0.143133648,FALSE,2,4,1180
